seed,num_clusters,num_points,init_type,ImprClass,iteration_order,init_cost,end_cost,num_iter,num_iter_tot,time,num_clusters,num_points,init_type,ImprClass,iteration_order,init_cost,end_cost,num_iter,num_iter_tot,time,num_clusters,num_points,init_type,ImprClass,iteration_order,init_cost,end_cost,num_iter,num_iter_tot,time
seed,4,30,0,1,2,43121,17818.2,37,1601,337
seed,4,30,0,1,2,43121,17818.2,37,1601,334
24587265,4,30,1,1,2,43425,41779.4,4,253,128
seed,4,30,1,1,2,43425,41779.4,4,253,123
seed,4,30,1,1,2,43425,41779.4,4,253,127
24587281,8,30,0,0,0,35204.4,4108.85,22,4830,195
seed,8,30,0,0,0,35204.4,4108.85,22,4830,198
seed,8,30,0,0,0,35204.4,4108.85,22,4830,202
24587296,8,30,1,0,0,39885.7,38078.8,7,1680,360
seed,8,30,1,0,0,39885.7,38078.8,7,1680,317
seed,8,30,1,0,0,39885.7,38078.8,7,1680,242
24587296,8,30,0,1,0,39885.7,6949.23,78,5599,243
seed,8,30,0,1,0,39885.7,6949.23,78,5599,339
seed,8,30,0,1,0,39885.7,6949.23,78,5599,239
24587312,8,30,1,1,0,40439.3,36165.6,16,1341,212
seed,8,30,1,1,0,40439.3,36165.6,16,1341,170
seed,8,30,1,1,0,40439.3,36165.6,16,1341,156
24587328,8,30,0,1,1,40917.1,4757.19,90,7928,374
seed,8,30,0,1,1,40917.1,4757.19,90,7928,343
seed,8,30,0,1,1,40917.1,4757.19,90,7928,348
24587343,8,30,1,1,1,29734.3,27388.7,12,860,136
seed,8,30,1,1,1,29734.3,27388.7,12,860,128
seed,8,30,1,1,1,29734.3,27388.7,12,860,126
24587343,8,30,0,1,2,29734.3,4757.65,50,4438,636
seed,8,30,0,1,2,29734.3,4757.65,50,4438,621
seed,8,30,0,1,2,29734.3,4757.65,50,4438,622
24587359,8,30,1,1,2,37820.5,36463.2,5,551,361
seed,8,30,1,1,2,37820.5,36463.2,5,551,455
seed,8,30,1,1,2,37820.5,36463.2,5,551,331
24587375,16,30,0,0,0,32644.2,1504.96,20,9450,386
seed,16,30,0,0,0,32644.2,1504.96,20,9450,344
seed,16,30,0,0,0,32644.2,1504.96,20,9450,358
24587390,16,30,1,0,0,25697.1,25377,7,3600,716
seed,16,30,1,0,0,25697.1,25377,7,3600,715
seed,16,30,1,0,0,25697.1,25377,7,3600,653
24587406,16,30,0,1,0,30627.6,1564.58,102,13349,528
seed,16,30,0,1,0,30627.6,1564.58,102,13349,503
seed,16,30,0,1,0,30627.6,1564.58,102,13349,523
24587421,16,30,1,1,0,26399.7,24813.5,6,1973,470
seed,16,30,1,1,0,26399.7,24813.5,6,1973,454
